Date,Close/Last,Volume,Open,High,Low
3/16/2020,$146.01 ,39120420,$152.32 ,$159.13 ,$143.10 
3/13/2020,$170.28 ,35028630,$163.53 ,$170.79 ,$157.60 
3/12/2020,$154.47 ,43266340,$159.54 ,$166.60 ,$154.34 
3/11/2020,$170.24 ,20397200,$174.01 ,$175.88 ,$167.66 
3/10/2020,$178.19 ,24517790,$174.67 ,$178.29 ,$169.50 
3/9/2020,$169.50 ,29949040,$169.60 ,$175 ,$165.19 
3/6/2020,$181.09 ,24559550,$178.33 ,$183.78 ,$176.26 
3/5/2020,$185.17 ,19333430,$186.78 ,$188.99 ,$183.89 
3/4/2020,$191.76 ,23062470,$189.17 ,$191.83 ,$186.39 
3/3/2020,$185.89 ,27984100,$196.22 ,$197.24 ,$183.97 
3/2/2020,$196.44 ,24948960,$194.03 ,$196.57 ,$188.85 
2/28/2020,$192.47 ,32583490,$182.70 ,$192.74 ,$181.82 
2/27/2020,$189.75 ,21682630,$191.82 ,$195.88 ,$189.50 
2/26/2020,$197.20 ,16555210,$197.19 ,$201.21 ,$195.49 
2/25/2020,$196.77 ,21433490,$202.25 ,$203.50 ,$195.95 
2/24/2020,$200.72 ,23080060,$201.80 ,$203.65 ,$198.17 
2/21/2020,$210.18 ,14098430,$213.48 ,$214.24 ,$208.83 
2/20/2020,$214.58 ,13109210,$216.52 ,$218.77 ,$212.95 
2/19/2020,$217.49 ,12135110,$217.99 ,$218.32 ,$216.11 
2/18/2020,$217.80 ,15630030,$213.55 ,$217.98 ,$213.40 
2/14/2020,$214.18 ,10741750,$214 ,$214.93 ,$212.65 
2/13/2020,$213.14 ,15396630,$209.52 ,$214.33 ,$209.18 
2/12/2020,$210.76 ,13813700,$207.85 ,$211.22 ,$207.40 
2/11/2020,$207.19 ,25030810,$210.19 ,$210.86 ,$206.51 
2/10/2020,$213.06 ,11856350,$211.52 ,$213.80 ,$210.66 
2/7/2020,$212.33 ,12242530,$210.30 ,$212.82 ,$209.93 
2/6/2020,$210.85 ,10567530,$210.47 ,$211.19 ,$209.34 
2/5/2020,$210.11 ,12538150,$212.51 ,$212.73 ,$208.71 
2/4/2020,$209.83 ,19628890,$206.62 ,$210.60 ,$205.20 
2/3/2020,$204.19 ,15510510,$203.44 ,$205.14 ,$202.50 
1/31/2020,$201.91 ,31359920,$208.43 ,$208.69 ,$201.06 
1/30/2020,$209.53 ,48775500,$206.53 ,$211.43 ,$204.75 
1/29/2020,$223.23 ,33610010,$221.44 ,$224.20 ,$218.45 
1/28/2020,$217.79 ,13413840,$216.14 ,$218.74 ,$213.52 
1/27/2020,$214.87 ,13810660,$213.10 ,$216.06 ,$212.50 
1/24/2020,$217.94 ,11905820,$220.80 ,$221.78 ,$216.11 
1/23/2020,$219.76 ,11195000,$220.75 ,$221.49 ,$219.27 
1/22/2020,$221.32 ,12212810,$222.31 ,$222.75 ,$221.28 
1/21/2020,$221.44 ,14275780,$222.16 ,$222.37 ,$219.12 
1/17/2020,$222.14 ,15905940,$222.03 ,$222.29 ,$220.53 
1/16/2020,$221.77 ,10015290,$222.57 ,$222.63 ,$220.39 
1/15/2020,$221.15 ,10036480,$220.61 ,$221.68 ,$220.14 
1/14/2020,$219.06 ,13315360,$221.61 ,$222.38 ,$218.63 
1/13/2020,$221.91 ,14494520,$219.60 ,$221.97 ,$219.21 
1/10/2020,$218.06 ,12127430,$219.20 ,$219.88 ,$217.42 
1/9/2020,$218.30 ,12679580,$217.54 ,$218.38 ,$216.28 
1/8/2020,$215.22 ,13492700,$213 ,$216.24 ,$212.61 
1/7/2020,$213.06 ,15111860,$212.82 ,$214.58 ,$211.75 
1/6/2020,$212.60 ,17073860,$206.70 ,$212.78 ,$206.52 
1/3/2020,$208.67 ,11197420,$207.21 ,$210.40 ,$206.95 
1/2/2020,$209.78 ,12090710,$206.75 ,$209.79 ,$206.27 
12/31/2019,$205.25 ,8962756,$204.00 ,$205.56 ,$203.60 
12/30/2019,$204.41 ,10534440,$207.86 ,$207.90 ,$203.90 
12/27/2019,$208.10 ,10287630,$208.67 ,$208.93 ,$206.59 
12/26/2019,$207.79 ,9368273,$205.57 ,$207.82 ,$205.31 
12/24/2019,$205.12 ,6046273,$206.30 ,$206.79 ,$205 
12/23/2019,$206.18 ,13353190,$206.70 ,$208.59 ,$205.68 
12/20/2019,$206.30 ,27315230,$207.48 ,$207.71 ,$203.43 
12/19/2019,$206.06 ,16808180,$202.78 ,$206.30 ,$202.51 
12/18/2019,$202.50 ,23284750,$200.09 ,$204.30 ,$200.09 
12/17/2019,$198.39 ,10177610,$198.84 ,$199 ,$196.13 
12/16/2019,$197.92 ,14922730,$195.27 ,$199.12 ,$194.81 
12/13/2019,$194.11 ,18806020,$196.40 ,$196.80 ,$193.17 
12/12/2019,$196.75 ,23766990,$202.35 ,$203.66 ,$194.10 
12/11/2019,$202.26 ,8041827,$200.28 ,$202.63 ,$200.28 
12/10/2019,$200.87 ,9485568,$201.66 ,$202.05 ,$200.15 
12/9/2019,$201.34 ,12013220,$200.65 ,$203.14 ,$200.21 
12/6/2019,$201.05 ,12279530,$200.50 ,$201.57 ,$200.06 
12/5/2019,$199.36 ,9755350,$199.86 ,$201.29 ,$198.21 
12/4/2019,$198.71 ,8459939,$200 ,$200.03 ,$198.05 
12/3/2019,$198.82 ,13014170,$197.60 ,$198.93 ,$195.08 
12/2/2019,$199.70 ,11542020,$202.13 ,$202.18 ,$198.05 
11/29/2019,$201.64 ,7985231,$201.60 ,$203.80 ,$201.21 
11/27/2019,$202 ,12760570,$199.90 ,$203.14 ,$199.42 
11/26/2019,$198.97 ,11748660,$200 ,$200.15 ,$198.04 
11/25/2019,$199.79 ,15286440,$199.52 ,$200.97 ,$199.25 
11/22/2019,$198.82 ,9959817,$198.38 ,$199.30 ,$197.62 
11/21/2019,$197.93 ,12130990,$197.42 ,$199.09 ,$196.86 
11/20/2019,$197.51 ,12370240,$198.58 ,$199.59 ,$195.43 
11/19/2019,$199.32 ,19070290,$197.40 ,$200 ,$196.86 
11/18/2019,$197.40 ,16176110,$194.56 ,$198.63 ,$193.05 
11/15/2019,$195.10 ,11530230,$194.26 ,$195.30 ,$193.38 
11/14/2019,$193.15 ,9059897,$192.93 ,$194.03 ,$191.45 
11/13/2019,$193.19 ,11009800,$194.70 ,$195.70 ,$192.74 
11/12/2019,$194.47 ,17615450,$190 ,$195.06 ,$189.74 
11/11/2019,$189.61 ,8637768,$189.93 ,$190.08 ,$188.54 
11/8/2019,$190.84 ,10764780,$190 ,$192.34 ,$189.70 
11/7/2019,$190.42 ,13473000,$191.91 ,$193.44 ,$189.47 
11/6/2019,$191.55 ,10973020,$194.03 ,$194.37 ,$191.35 
11/5/2019,$194.32 ,9941954,$195.37 ,$195.75 ,$193.60 
11/4/2019,$194.72 ,16371290,$194.55 ,$197.37 ,$193.81 
11/1/2019,$193.62 ,21711830,$192.85 ,$194.11 ,$189.91 
10/31/2019,$191.65 ,42286530,$196.70 ,$198.09 ,$188.25 
