Country,calendar_start_date,calendar_end_date,Year,dengue_total
ARUBA,8/21/2022,8/27/2022,2022,0
ARUBA,8/28/2022,9/3/2022,2022,0
ARUBA,11/6/2022,11/12/2022,2022,0
ARUBA,11/13/2022,11/19/2022,2022,0
ARUBA,11/20/2022,11/26/2022,2022,0
ARUBA,11/27/2022,12/3/2022,2022,0
ARUBA,12/4/2022,12/10/2022,2022,0
ARUBA,12/11/2022,12/17/2022,2022,0
ARUBA,12/18/2022,12/24/2022,2022,0
ARUBA,12/25/2022,12/31/2022,2022,0
AUSTRALIA,5/1/2020,5/31/2020,2020,1
AUSTRALIA,6/1/2020,6/30/2020,2020,1
AUSTRALIA,7/1/2020,7/31/2020,2020,1
AUSTRALIA,8/1/2020,8/31/2020,2020,0
AUSTRALIA,9/1/2020,9/30/2020,2020,0
AUSTRALIA,10/1/2020,10/31/2020,2020,0
AUSTRALIA,11/1/2020,11/30/2020,2020,1
AUSTRALIA,12/1/2020,12/31/2020,2020,0
AUSTRALIA,1/1/2021,1/31/2021,2021,0
AUSTRALIA,2/1/2021,2/28/2021,2021,0
AUSTRALIA,3/1/2021,3/31/2021,2021,0
AUSTRALIA,4/1/2021,4/30/2021,2021,1
AUSTRALIA,5/1/2021,5/31/2021,2021,1
AUSTRALIA,6/1/2021,6/30/2021,2021,0
AUSTRALIA,7/1/2021,7/31/2021,2021,1
AUSTRALIA,8/1/2021,8/31/2021,2021,0
AUSTRALIA,9/1/2021,9/30/2021,2021,0
AUSTRALIA,10/1/2021,10/31/2021,2021,3
AUSTRALIA,11/1/2021,11/30/2021,2021,3
AUSTRALIA,12/1/2021,12/31/2021,2021,2
AUSTRALIA,1/1/2022,1/31/2022,2022,3
AUSTRALIA,2/1/2022,2/28/2022,2022,4
AUSTRALIA,3/1/2022,3/31/2022,2022,11
AUSTRALIA,4/1/2022,4/30/2022,2022,14
AUSTRALIA,5/1/2022,5/31/2022,2022,25
AUSTRALIA,6/1/2022,6/30/2022,2022,34
AUSTRALIA,7/1/2022,7/31/2022,2022,51
AUSTRALIA,8/1/2022,8/31/2022,2022,48
AUSTRALIA,9/1/2022,9/30/2022,2022,80
AUSTRALIA,10/1/2022,10/31/2022,2022,122
AUSTRALIA,11/1/2022,11/30/2022,2022,85
AUSTRALIA,12/1/2022,12/31/2022,2022,58
AUSTRALIA,1/1/2023,1/31/2023,2023,81
AUSTRALIA,2/1/2023,2/28/2023,2023,80
AUSTRALIA,3/1/2023,3/31/2023,2023,89
AUSTRALIA,4/1/2023,4/30/2023,2023,81
BAHAMAS,5/3/2020,5/9/2020,2020,0
BAHAMAS,5/10/2020,5/16/2020,2020,0
BAHAMAS,5/17/2020,5/23/2020,2020,0
BAHAMAS,5/24/2020,5/30/2020,2020,0
BAHAMAS,5/31/2020,6/6/2020,2020,0
BAHAMAS,6/7/2020,6/13/2020,2020,0
BAHAMAS,6/14/2020,6/20/2020,2020,0
BAHAMAS,6/21/2020,6/27/2020,2020,0
BAHAMAS,6/28/2020,7/4/2020,2020,0
BAHAMAS,7/5/2020,7/11/2020,2020,0
BAHAMAS,7/12/2020,7/18/2020,2020,0
BAHAMAS,7/19/2020,7/25/2020,2020,0
BAHAMAS,7/26/2020,8/1/2020,2020,0
BAHAMAS,8/2/2020,8/8/2020,2020,0
BAHAMAS,8/9/2020,8/15/2020,2020,0
BAHAMAS,8/16/2020,8/22/2020,2020,0
BAHAMAS,8/23/2020,8/29/2020,2020,0
BAHAMAS,8/30/2020,9/5/2020,2020,0
BAHAMAS,9/6/2020,9/12/2020,2020,0
BAHAMAS,9/13/2020,9/19/2020,2020,0
BAHAMAS,9/20/2020,9/26/2020,2020,0
BAHAMAS,9/27/2020,10/3/2020,2020,0
BAHAMAS,10/4/2020,10/10/2020,2020,0
BAHAMAS,10/11/2020,10/17/2020,2020,0
BAHAMAS,10/18/2020,10/24/2020,2020,0
BAHAMAS,10/25/2020,10/31/2020,2020,0
BAHAMAS,11/1/2020,11/7/2020,2020,0
BAHAMAS,11/8/2020,11/14/2020,2020,0
BAHAMAS,11/15/2020,11/21/2020,2020,0
BAHAMAS,11/22/2020,11/28/2020,2020,0
BAHAMAS,11/29/2020,12/5/2020,2020,0
BAHAMAS,12/6/2020,12/12/2020,2020,0
BAHAMAS,12/13/2020,12/19/2020,2020,0
BAHAMAS,12/20/2020,12/26/2020,2020,0
BAHAMAS,12/27/2020,1/2/2021,2020,0
BANGLADESH,5/1/2020,5/31/2020,2020,10
BANGLADESH,6/1/2020,6/30/2020,2020,20
BANGLADESH,7/1/2020,7/31/2020,2020,23
BANGLADESH,8/1/2020,8/31/2020,2020,68
BANGLADESH,9/1/2020,9/30/2020,2020,47
BANGLADESH,10/1/2020,10/31/2020,2020,164
BANGLADESH,11/1/2020,11/30/2020,2020,546
BANGLADESH,12/1/2020,12/31/2020,2020,231
BANGLADESH,1/1/2021,1/31/2021,2021,32
BANGLADESH,2/1/2021,2/28/2021,2021,9
BANGLADESH,3/1/2021,3/31/2021,2021,13
BANGLADESH,4/1/2021,4/30/2021,2021,3
BANGLADESH,5/1/2021,5/31/2021,2021,43
BANGLADESH,6/1/2021,6/30/2021,2021,272
BANGLADESH,7/1/2021,7/31/2021,2021,2286
BANGLADESH,8/1/2021,8/31/2021,2021,7698
BANGLADESH,9/1/2021,9/30/2021,2021,6095
BANGLADESH,10/1/2021,10/31/2021,2021,5458
BANGLADESH,11/1/2021,11/30/2021,2021,3567
BANGLADESH,12/1/2021,12/31/2021,2021,1207
BANGLADESH,1/1/2022,1/31/2022,2022,126
BANGLADESH,2/1/2022,2/28/2022,2022,20
BANGLADESH,3/1/2022,3/31/2022,2022,20
BANGLADESH,4/1/2022,4/30/2022,2022,23
BANGLADESH,5/1/2022,5/31/2022,2022,163
BANGLADESH,6/1/2022,6/30/2022,2022,737
BANGLADESH,7/1/2022,7/31/2022,2022,1571
BANGLADESH,8/1/2022,8/31/2022,2022,3521
BANGLADESH,9/1/2022,9/30/2022,2022,9911
BANGLADESH,10/1/2022,10/31/2022,2022,21932
BANGLADESH,11/1/2022,11/30/2022,2022,19334
BANGLADESH,12/1/2022,12/31/2022,2022,3731
BARBADOS,5/3/2020,5/9/2020,2020,3
BARBADOS,5/10/2020,5/16/2020,2020,7
BARBADOS,5/17/2020,5/23/2020,2020,3
BARBADOS,5/24/2020,5/30/2020,2020,3
BARBADOS,5/31/2020,6/6/2020,2020,3
BARBADOS,6/7/2020,6/13/2020,2020,4
BARBADOS,6/14/2020,6/20/2020,2020,2
BARBADOS,6/21/2020,6/27/2020,2020,2
BARBADOS,6/28/2020,7/4/2020,2020,5
BARBADOS,7/5/2020,7/11/2020,2020,3
BARBADOS,7/12/2020,7/18/2020,2020,4
BARBADOS,7/19/2020,7/25/2020,2020,3
BARBADOS,7/26/2020,8/1/2020,2020,6
BARBADOS,8/2/2020,8/8/2020,2020,1
BARBADOS,8/9/2020,8/15/2020,2020,0
BARBADOS,8/16/2020,8/22/2020,2020,3
BARBADOS,8/23/2020,8/29/2020,2020,4
