Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2014","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2013","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2013, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2014","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2013","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2013, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Current week","Ehrlichiosis/Anaplasmosis†, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2014","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2013","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2013, flag",Location 1,Location 1 (city),Location 1 (state),Location 2
FLORIDA,2014,49,,-,0,,3,,30,,21,,,-,0,,2,,7,,2,,,-,0,,0,,,-,,-,POINT (-81.92895768899996 28.932042722000062),,FLORIDA,
MISSISSIPPI,2014,49,,-,0,,1,,4,,3,,,-,0,,1,,1,,1,,,-,0,,0,,,-,1,,POINT (-89.53802722999995 32.745513440000025),,MISSISSIPPI,
NORTH CAROLINA,2014,49,,-,0,,23,,68,,66,,,-,0,,6,,10,,13,,,-,0,,0,,,-,,-,POINT (-79.15924997399998 35.466220159000045),,NORTH CAROLINA,
NEW YORK CITY,2014,49,,-,0,,3,,17,,14,,1,,0,,5,,39,,23,,,-,0,,0,,,-,,-,POINT (-74.00596858999995 40.71426755700003),,NEW YORK CITY,
VIRGINIA,2014,49,,-,0,,9,,99,,107,,,-,0,,2,,15,,23,,,-,0,,1,,1,,2,,POINT (-78.45788932099998 37.542680705000066),,VIRGINIA,
OREGON,2014,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-120.15502935599994 44.56745049300008),,OREGON,
NEVADA,2014,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-117.07183885899997 39.49324221300003),,NEVADA,
MONTANA,2014,49,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-109.42441587999997 47.06652795700006),,MONTANA,
NEW MEXICO,2014,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-106.24057817299996 34.52088149400004),,NEW MEXICO,
TENNESSEE,2014,49,,-,0,,8,,82,,84,,,-,0,,1,,3,,5,,,-,0,,2,,10,,4,,POINT (-85.77448666899994 35.68094072700006),,TENNESSEE,
DELAWARE,2014,49,,-,0,,5,,21,,14,,,-,0,,1,,2,,,-,,-,0,,0,,,-,1,,POINT (-75.57773597599999 39.00883389200004),,DELAWARE,
MINNESOTA,2014,49,,-,0,,0,,,-,7,,,-,0,,1,,,-,629,,,-,0,,1,,,-,42,,POINT (-94.79419983199995 46.35564896600005),,MINNESOTA,
IOWA,2014,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-93.81648725599996 42.469401411000035),,IOWA,
UNITED STATES,2014,50,4,,18,,100,,1384,,1398,,12,,24,,145,,1924,,2396,,1,,1,,12,,132,,213,,,,,
NEW ENGLAND,2014,50,,-,0,,6,,45,,60,,1,,7,,72,,901,,409,,,-,0,,2,,5,,7,,,,,
MID. ATLANTIC,2014,50,3,,2,,20,,177,,143,,11,,8,,42,,486,,560,,1,,0,,3,,11,,34,,,,,
E.N. CENTRAL,2014,50,,-,1,,5,,58,,88,,,-,5,,48,,432,,702,,,-,1,,7,,75,,93,,,,,
W.N. CENTRAL,2014,50,,-,3,,34,,366,,450,,,-,0,,3,,32,,658,,,-,0,,3,,24,,56,,,,,
S. ATLANTIC,2014,50,1,,3,,24,,300,,274,,,-,0,,6,,43,,46,,,-,0,,1,,1,,6,,,,,
DIST. OF COL.,2014,50,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,,DIST. OF COL.,
E.S. CENTRAL,2014,50,,-,1,,13,,156,,165,,,-,0,,2,,10,,9,,,-,0,,2,,12,,6,,,,,
W.S. CENTRAL,2014,50,,-,4,,63,,282,,216,,,-,0,,8,,20,,10,,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,50,,-,0,,0,,,-,2,,,-,0,,0,,,-,1,,,-,0,,1,,1,,2,,,,,
PACIFIC,2014,50,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,1,,3,,9,,,,,
AMER. SAMOA,2014,50,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,,AMER. SAMOA,
C.N.M.I.,2014,50,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,C.N.M.I.,
VIRGIN ISL.,2014,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,VIRGIN ISL.,
