Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2021†","Cryptosporidiosis, Cum 2021†, flag","Cryptosporidiosis, Cum 2020†","Cryptosporidiosis, Cum 2020†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2021†","Cyclosporiasis, Cum 2021†, flag","Cyclosporiasis, Cum 2020†","Cyclosporiasis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode,Counties,States
MOUNTAIN,2021,40,5,,23,,469,,475,,2,,23,,168,,56,,,MOUNTAIN,20214048,,,
ARIZONA,2021,40,1,,8,,77,,68,,,-,5,,21,,2,,ARIZONA,,20214049,POINT (-111.664616 34.293239),987,7
COLORADO,2021,40,2,,11,,145,,127,,2,,18,,116,,35,,COLORADO,,20214050,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,40,1,,6,,66,,71,,,N,,NC,,N,,N,IDAHO,,20214051,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,40,,-,5,,37,,42,,,-,1,,3,,1,,MONTANA,,20214052,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,40,,-,2,,12,,17,,,N,,NC,,N,,N,NEVADA,,20214053,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,40,,-,4,,30,,35,,,-,2,,3,,4,,NEW MEXICO,,20214054,POINT (-106.108388 34.421369),616,11
UTAH,2021,40,1,,10,,98,,106,,,-,6,,23,,12,,UTAH,,20214055,POINT (-111.678222 39.323779),900,13
WYOMING,2021,40,,-,2,,4,,9,,,-,1,,2,,2,,WYOMING,,20214056,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,40,12,,22,,483,,525,,,-,14,,71,,13,,,PACIFIC,20214057,,,
ALASKA,2021,40,1,,5,,16,,6,,,-,0,,,-,2,,ALASKA,,20214058,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,40,8,,14,,258,,317,,,-,10,,57,,11,,CALIFORNIA,,20214059,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,40,,-,1,,4,,4,,,-,0,,,-,,-,HAWAII,,20214060,POINT (-157.854309 21.361013),1657,4
OREGON,2021,40,1,,6,,100,,78,,,-,4,,14,,,-,OREGON,,20214061,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,40,2,,7,,105,,120,,,-,0,,,-,,-,WASHINGTON,,20214062,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,40,,-,0,,,-,3,,,-,0,,,-,,-,,US TERRITORIES,20214063,,,
AMERICAN SAMOA,2021,40,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20214064,,,
NORTHERN MARIANA ISLANDS,2021,40,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20214065,POINT (145.725693 15.1834),,
GUAM,2021,40,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20214066,POINT (144.653198 13.3532),,
PUERTO RICO,2021,40,,-,0,,,-,3,,,-,0,,,-,,-,PUERTO RICO,,20214067,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,40,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20214068,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,40,,-,1,,,-,3,,,-,1,,1,,,-,,NON-US RESIDENTS,20214069,,,
TOTAL,2021,40,42,,239,,4943,,6155,,3,,192,,1640,,2373,,,TOTAL,20214070,,,
US RESIDENTS,2021,41,49,,294,,5128,,6293,,7,,191,,1665,,2425,,,US RESIDENTS,20214101,,,
NEW ENGLAND,2021,41,3,,17,,253,,279,,,-,13,,73,,37,,,NEW ENGLAND,20214102,,,
CONNECTICUT,2021,41,,-,4,,37,,27,,,-,7,,27,,7,,CONNECTICUT,,20214103,POINT (-72.738288 41.575155),1043,24
MAINE,2021,41,,-,6,,48,,48,,,-,2,,2,,,-,MAINE,,20214104,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,41,3,,7,,100,,96,,,-,6,,36,,23,,MASSACHUSETTS,,20214105,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,41,,-,6,,40,,32,,,-,1,,5,,3,,NEW HAMPSHIRE,,20214106,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,41,,-,3,,25,,20,,,-,1,,3,,4,,RHODE ISLAND,,20214107,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,41,,-,2,,3,,56,,,-,0,,,-,,-,VERMONT,,20214108,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,41,15,,52,,893,,807,,,-,49,,241,,264,,,MIDDLE ATLANTIC,20214109,,,
NEW JERSEY,2021,41,,-,10,,98,,99,,,-,1,,1,,103,,NEW JERSEY,,20214110,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,41,14,,25,,348,,332,,,-,28,,131,,45,,NEW YORK,,20214111,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,41,,-,20,,207,,120,,,-,12,,109,,116,,,NEW YORK CITY,20214112,,,
PENNSYLVANIA,2021,41,1,,16,,240,,256,,,N,,NC,,N,,N,PENNSYLVANIA,,20214113,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,41,4,,66,,982,,1267,,,-,42,,290,,474,,,EAST NORTH CENTRAL,20214114,,,
ILLINOIS,2021,41,,-,19,,208,,210,,,-,21,,121,,318,,ILLINOIS,,20214115,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,41,,-,6,,9,,128,,,-,2,,6,,7,,INDIANA,,20214116,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,41,,-,6,,5,,207,,,-,1,,,-,20,,MICHIGAN,,20214117,POINT (-85.730977 44.874798),1262,50
OHIO,2021,41,,-,25,,298,,285,,,-,15,,69,,56,,OHIO,,20214118,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,41,4,,34,,462,,437,,,-,23,,94,,73,,WISCONSIN,,20214119,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,41,4,,36,,672,,1075,,,-,26,,145,,762,,,WEST NORTH CENTRAL,20214120,,,
IOWA,2021,41,1,,21,,327,,309,,,-,16,,80,,267,,IOWA,,20214121,POINT (-93.500061 42.074659),299,16
KANSAS,2021,41,1,,6,,73,,63,,,-,2,,9,,59,,KANSAS,,20214122,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,41,,-,12,,,-,310,,,-,1,,,-,141,,MINNESOTA,,20214123,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,41,,-,5,,60,,202,,,-,5,,9,,185,,MISSOURI,,20214124,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,41,2,,7,,85,,100,,,-,8,,31,,88,,NEBRASKA,,20214125,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,41,,-,4,,25,,21,,,N,,NC,,N,,N,NORTH DAKOTA,,20214126,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,41,,-,13,,102,,70,,,-,4,,16,,22,,SOUTH DAKOTA,,20214127,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,41,10,,35,,748,,929,,,-,51,,374,,271,,,SOUTH ATLANTIC,20214128,,,
DELAWARE,2021,41,,-,3,,16,,18,,,-,2,,4,,1,,DELAWARE,,20214129,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,41,,-,2,,4,,11,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20214130,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,41,,-,14,,208,,234,,,-,40,,171,,135,,FLORIDA,,20214131,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,41,3,,9,,161,,156,,,-,12,,67,,44,,GEORGIA,,20214132,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,41,1,,5,,53,,61,,,-,6,,42,,14,,MARYLAND,,20214133,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,41,,-,8,,89,,169,,,-,8,,33,,34,,NORTH CAROLINA,,20214134,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,41,4,,6,,67,,70,,,-,8,,26,,12,,SOUTH CAROLINA,,20214135,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,41,2,,12,,144,,160,,,-,4,,31,,28,,VIRGINIA,,20214136,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,41,,-,2,,6,,50,,,-,0,,,-,3,,WEST VIRGINIA,,20214137,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,41,,-,18,,254,,468,,,-,9,,68,,70,,,EAST SOUTH CENTRAL,20214138,,,
ALABAMA,2021,41,,-,7,,82,,102,,,-,3,,6,,10,,ALABAMA,,20214139,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,41,,-,8,,85,,189,,,-,5,,23,,13,,KENTUCKY,,20214140,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,41,,-,1,,,-,17,,,N,,NC,,N,,N,MISSISSIPPI,,20214141,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,41,,-,7,,87,,160,,,-,7,,39,,47,,TENNESSEE,,20214142,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,41,1,,35,,347,,473,,7,,32,,231,,478,,,WEST SOUTH CENTRAL,20214143,,,
ARKANSAS,2021,41,,-,6,,42,,49,,,-,4,,12,,9,,ARKANSAS,,20214144,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,41,,-,8,,57,,80,,1,,3,,9,,54,,LOUISIANA,,20214145,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,41,1,,5,,73,,68,,,N,,NC,,N,,N,OKLAHOMA,,20214146,POINT (-97.508297 35.583449),712,20
TEXAS,2021,41,,-,27,,175,,276,,6,,31,,210,,415,,TEXAS,,20214147,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,41,7,,24,,480,,486,,,-,23,,169,,56,,,MOUNTAIN,20214148,,,
ARIZONA,2021,41,,-,8,,77,,70,,,-,5,,20,,2,,ARIZONA,,20214149,POINT (-111.664616 34.293239),987,7
COLORADO,2021,41,2,,11,,149,,129,,,-,18,,116,,35,,COLORADO,,20214150,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,41,,-,6,,68,,73,,,N,,NC,,N,,N,IDAHO,,20214151,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,41,,-,5,,37,,42,,,-,1,,3,,1,,MONTANA,,20214152,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,41,,-,2,,12,,18,,,N,,NC,,N,,N,NEVADA,,20214153,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,41,,-,4,,30,,36,,,-,2,,4,,4,,NEW MEXICO,,20214154,POINT (-106.108388 34.421369),616,11
UTAH,2021,41,5,,10,,103,,109,,,-,6,,23,,12,,UTAH,,20214155,POINT (-111.678222 39.323779),900,13
WYOMING,2021,41,,-,2,,4,,9,,,-,1,,2,,2,,WYOMING,,20214156,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,41,5,,176,,499,,509,,,-,14,,74,,13,,,PACIFIC,20214157,,,
ALASKA,2021,41,,-,5,,16,,6,,,-,0,,,-,2,,ALASKA,,20214158,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,41,4,,15,,268,,419,,,-,10,,60,,11,,CALIFORNIA,,20214159,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,41,,-,1,,5,,4,,,-,0,,,-,,-,HAWAII,,20214160,POINT (-157.854309 21.361013),1657,4
OREGON,2021,41,,-,6,,101,,80,,,-,4,,14,,,-,OREGON,,20214161,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,41,1,,172,,109,,,-,,-,11,,,-,,-,WASHINGTON,,20214162,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,41,,-,0,,,-,3,,,-,0,,,-,,-,,US TERRITORIES,20214163,,,
AMERICAN SAMOA,2021,41,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20214164,,,
NORTHERN MARIANA ISLANDS,2021,41,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20214165,POINT (145.725693 15.1834),,
GUAM,2021,41,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20214166,POINT (144.653198 13.3532),,
PUERTO RICO,2021,41,,-,0,,,-,3,,,-,0,,,-,,-,PUERTO RICO,,20214167,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,41,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20214168,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,41,,-,1,,,-,3,,,-,1,,1,,,-,,NON-US RESIDENTS,20214169,,,
TOTAL,2021,41,49,,294,,5128,,6299,,7,,192,,1666,,2425,,,TOTAL,20214170,,,
US RESIDENTS,2021,42,64,,289,,5237,,6339,,,-,192,,1669,,2450,,,US RESIDENTS,20214201,,,
NEW ENGLAND,2021,42,2,,17,,255,,285,,,-,13,,74,,37,,,NEW ENGLAND,20214202,,,
CONNECTICUT,2021,42,,-,4,,37,,27,,,-,7,,27,,7,,CONNECTICUT,,20214203,POINT (-72.738288 41.575155),1043,24
MAINE,2021,42,,-,6,,48,,51,,,-,2,,2,,,-,MAINE,,20214204,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,42,2,,7,,102,,97,,,-,6,,37,,23,,MASSACHUSETTS,,20214205,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,42,,-,6,,40,,34,,,-,1,,5,,3,,NEW HAMPSHIRE,,20214206,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,42,,-,3,,25,,20,,,-,1,,3,,4,,RHODE ISLAND,,20214207,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,42,,-,2,,3,,56,,,-,0,,,-,,-,VERMONT,,20214208,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,42,18,,52,,922,,816,,,-,49,,240,,267,,,MIDDLE ATLANTIC,20214209,,,
NEW JERSEY,2021,42,,-,10,,101,,100,,,-,1,,1,,104,,NEW JERSEY,,20214210,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,42,13,,25,,361,,334,,,-,28,,130,,46,,NEW YORK,,20214211,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,42,2,,20,,212,,121,,,-,12,,109,,117,,,NEW YORK CITY,20214212,,,
PENNSYLVANIA,2021,42,3,,16,,248,,261,,,N,,NC,,N,,N,PENNSYLVANIA,,20214213,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,42,3,,66,,1017,,1280,,,-,42,,292,,474,,,EAST NORTH CENTRAL,20214214,,,
ILLINOIS,2021,42,,-,19,,208,,213,,,-,21,,122,,318,,ILLINOIS,,20214215,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,42,,-,6,,9,,132,,,-,2,,6,,7,,INDIANA,,20214216,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,42,,-,6,,5,,209,,,-,1,,,-,20,,MICHIGAN,,20214217,POINT (-85.730977 44.874798),1262,50
OHIO,2021,42,,-,25,,327,,287,,,-,15,,70,,56,,OHIO,,20214218,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,42,3,,34,,468,,439,,,-,23,,94,,73,,WISCONSIN,,20214219,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,42,6,,36,,684,,1098,,,-,26,,146,,763,,,WEST NORTH CENTRAL,20214220,,,
IOWA,2021,42,1,,21,,332,,315,,,-,16,,81,,267,,IOWA,,20214221,POINT (-93.500061 42.074659),299,16
KANSAS,2021,42,4,,6,,79,,64,,,-,2,,9,,59,,KANSAS,,20214222,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,42,,-,12,,,-,320,,,-,1,,,-,142,,MINNESOTA,,20214223,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,42,,-,5,,60,,206,,,-,5,,9,,185,,MISSOURI,,20214224,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,42,1,,7,,86,,102,,,-,8,,31,,88,,NEBRASKA,,20214225,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,42,,-,4,,25,,21,,,N,,NC,,N,,N,NORTH DAKOTA,,20214226,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,42,,-,13,,102,,70,,,-,4,,16,,22,,SOUTH DAKOTA,,20214227,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,42,13,,35,,782,,953,,,-,51,,374,,278,,,SOUTH ATLANTIC,20214228,,,
DELAWARE,2021,42,,-,2,,16,,21,,,-,2,,4,,1,,DELAWARE,,20214229,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,42,,-,2,,4,,11,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20214230,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,42,,-,14,,219,,237,,,-,40,,171,,138,,FLORIDA,,20214231,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,42,4,,9,,166,,158,,,-,12,,67,,45,,GEORGIA,,20214232,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,42,4,,5,,57,,64,,,-,6,,42,,15,,MARYLAND,,20214233,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,42,1,,8,,95,,171,,,-,8,,33,,34,,NORTH CAROLINA,,20214234,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,42,,-,6,,69,,70,,,-,8,,26,,12,,SOUTH CAROLINA,,20214235,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,42,4,,12,,150,,166,,,-,4,,31,,28,,VIRGINIA,,20214236,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,42,,-,2,,6,,55,,,-,0,,,-,5,,WEST VIRGINIA,,20214237,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,42,6,,18,,268,,477,,,-,9,,69,,72,,,EAST SOUTH CENTRAL,20214238,,,
ALABAMA,2021,42,4,,7,,92,,106,,,-,3,,6,,10,,ALABAMA,,20214239,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,42,1,,8,,88,,191,,,-,5,,24,,13,,KENTUCKY,,20214240,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,42,,-,1,,,-,17,,,N,,NC,,N,,N,MISSISSIPPI,,20214241,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,42,1,,7,,88,,163,,,-,7,,39,,49,,TENNESSEE,,20214242,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,42,2,,35,,304,,410,,,-,32,,231,,490,,,WEST SOUTH CENTRAL,20214243,,,
ARKANSAS,2021,42,,-,6,,42,,49,,,-,4,,12,,9,,ARKANSAS,,20214244,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,42,,-,8,,58,,82,,,-,3,,9,,54,,LOUISIANA,,20214245,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,42,2,,4,,22,,,-,,N,,NC,,N,,N,OKLAHOMA,,20214246,POINT (-97.508297 35.583449),712,20
TEXAS,2021,42,,-,27,,182,,279,,,-,31,,210,,427,,TEXAS,,20214247,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,42,7,,23,,488,,495,,,-,23,,168,,56,,,MOUNTAIN,20214248,,,
ARIZONA,2021,42,,-,8,,73,,72,,,-,5,,20,,2,,ARIZONA,,20214249,POINT (-111.664616 34.293239),987,7
COLORADO,2021,42,5,,10,,159,,131,,,-,18,,116,,35,,COLORADO,,20214250,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,42,1,,6,,69,,75,,,N,,NC,,N,,N,IDAHO,,20214251,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,42,,-,5,,37,,42,,,-,1,,3,,1,,MONTANA,,20214252,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,42,,-,2,,12,,18,,,N,,NC,,N,,N,NEVADA,,20214253,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,42,1,,4,,31,,36,,,-,2,,4,,4,,NEW MEXICO,,20214254,POINT (-106.108388 34.421369),616,11
UTAH,2021,42,,-,10,,103,,111,,,-,6,,23,,12,,UTAH,,20214255,POINT (-111.678222 39.323779),900,13
WYOMING,2021,42,,-,2,,4,,10,,,-,1,,2,,2,,WYOMING,,20214256,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,42,7,,176,,517,,525,,,-,14,,75,,13,,,PACIFIC,20214257,,,
ALASKA,2021,42,1,,5,,17,,6,,,-,0,,,-,2,,ALASKA,,20214258,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,42,5,,15,,283,,433,,,-,10,,61,,11,,CALIFORNIA,,20214259,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,42,,-,1,,5,,4,,,-,0,,,-,,-,HAWAII,,20214260,POINT (-157.854309 21.361013),1657,4
OREGON,2021,42,1,,6,,103,,82,,,-,4,,14,,,-,OREGON,,20214261,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,42,,-,172,,109,,,-,,-,11,,,-,,-,WASHINGTON,,20214262,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,42,,-,0,,,-,3,,,-,0,,,-,,-,,US TERRITORIES,20214263,,,
AMERICAN SAMOA,2021,42,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20214264,,,
NORTHERN MARIANA ISLANDS,2021,42,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20214265,POINT (145.725693 15.1834),,
GUAM,2021,42,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20214266,POINT (144.653198 13.3532),,
PUERTO RICO,2021,42,,-,0,,,-,3,,,-,0,,,-,,-,PUERTO RICO,,20214267,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,42,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20214268,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,42,,-,1,,,-,3,,,-,1,,1,,,-,,NON-US RESIDENTS,20214269,,,
TOTAL,2021,42,64,,289,,5237,,6345,,,-,193,,1670,,2450,,,TOTAL,20214270,,,
US RESIDENTS,2021,43,46,,301,,5398,,6530,,12,,192,,1706,,2454,,,US RESIDENTS,20214301,,,
NEW ENGLAND,2021,43,,-,17,,258,,290,,,-,13,,74,,37,,,NEW ENGLAND,20214302,,,
CONNECTICUT,2021,43,,-,4,,37,,28,,,-,7,,27,,7,,CONNECTICUT,,20214303,POINT (-72.738288 41.575155),1043,24
MAINE,2021,43,,-,6,,48,,54,,,-,2,,2,,,-,MAINE,,20214304,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,43,,-,7,,104,,97,,,-,6,,37,,23,,MASSACHUSETTS,,20214305,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,43,,-,6,,40,,35,,,-,1,,5,,3,,NEW HAMPSHIRE,,20214306,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,43,,-,3,,26,,20,,,-,1,,3,,4,,RHODE ISLAND,,20214307,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,43,,-,2,,3,,56,,,-,0,,,-,,-,VERMONT,,20214308,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,43,11,,52,,941,,823,,,-,49,,242,,268,,,MIDDLE ATLANTIC,20214309,,,
NEW JERSEY,2021,43,,-,10,,101,,100,,,-,1,,1,,104,,NEW JERSEY,,20214310,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,43,7,,25,,368,,337,,,-,28,,130,,46,,NEW YORK,,20214311,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,43,1,,20,,219,,121,,,-,12,,111,,118,,,NEW YORK CITY,20214312,,,
PENNSYLVANIA,2021,43,3,,16,,253,,265,,,N,,NC,,N,,N,PENNSYLVANIA,,20214313,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,43,3,,66,,1031,,1304,,,-,42,,292,,474,,,EAST NORTH CENTRAL,20214314,,,
ILLINOIS,2021,43,,-,19,,208,,214,,,-,21,,122,,318,,ILLINOIS,,20214315,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,43,,-,6,,9,,135,,,-,2,,6,,7,,INDIANA,,20214316,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,43,,-,4,,5,,215,,,-,1,,,-,20,,MICHIGAN,,20214317,POINT (-85.730977 44.874798),1262,50
OHIO,2021,43,,-,25,,327,,295,,,-,15,,70,,56,,OHIO,,20214318,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,43,3,,34,,482,,445,,,-,23,,94,,73,,WISCONSIN,,20214319,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,43,3,,36,,695,,1113,,,-,26,,146,,763,,,WEST NORTH CENTRAL,20214320,,,
IOWA,2021,43,1,,21,,340,,317,,,-,16,,81,,267,,IOWA,,20214321,POINT (-93.500061 42.074659),299,16
KANSAS,2021,43,1,,6,,80,,66,,,-,2,,9,,59,,KANSAS,,20214322,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,43,,-,12,,,-,327,,,-,1,,,-,142,,MINNESOTA,,20214323,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,43,,-,5,,60,,209,,,-,5,,9,,185,,MISSOURI,,20214324,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,43,1,,7,,87,,102,,,-,8,,31,,88,,NEBRASKA,,20214325,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,43,,-,4,,26,,21,,,N,,NC,,N,,N,NORTH DAKOTA,,20214326,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,43,,-,13,,102,,71,,,-,4,,16,,22,,SOUTH DAKOTA,,20214327,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,43,6,,36,,799,,971,,2,,52,,386,,278,,,SOUTH ATLANTIC,20214328,,,
DELAWARE,2021,43,,-,2,,16,,23,,,-,2,,4,,1,,DELAWARE,,20214329,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,43,,-,2,,4,,11,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20214330,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,43,,-,14,,221,,241,,,-,41,,180,,138,,FLORIDA,,20214331,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,43,1,,9,,169,,159,,,-,12,,67,,45,,GEORGIA,,20214332,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,43,3,,5,,61,,67,,1,,6,,43,,15,,MARYLAND,,20214333,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,43,,-,8,,98,,172,,,-,8,,34,,34,,NORTH CAROLINA,,20214334,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,43,1,,6,,72,,71,,,-,8,,26,,12,,SOUTH CAROLINA,,20214335,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,43,1,,12,,152,,170,,1,,4,,32,,28,,VIRGINIA,,20214336,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,43,,-,1,,6,,57,,,-,0,,,-,5,,WEST VIRGINIA,,20214337,POINT (-80.613729 38.642579),2749,42
